id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
10880,奇鋐科技依循ISO 9001建立了全面的品質管理系統，在各個流程環節進行嚴格的品質管理，以客戶需求為導向，以客戶滿意度為輸出，確保提供給客戶最佳的服務與產品，並透過品質成本系統與Six Sigma管理，持續不斷改善我們的品質管理。每年定期進行內外部稽核，並藉由審核會議向公司高層進行匯報，以確保品質管理系統運作的有效性與適切性。,S,Yes,並透過品質成本系統與Six Sigma管理，持續不斷改善我們的品質管理。,already,Yes,每年定期進行內外部稽核，並藉由審核會議向公司高層進行匯報，以確保品質管理系統運作的有效性與適切性。,Clear,avc,3017,56,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/avc_3017_page_56.pdf,https://www.avc.co/zh-tw/CorporateResponsibility/CorporateCSR
10952,"凱基金控於2023年6月加入「碳核算金融聯盟」(Partnership for Carbon Accounting Financials, PCAF)，各子公司亦已遵循PCAF的方法完成股權與債券投資、主權債、企業授信、商用不動產貸款、發電專案融資與房貸碳盤查。",E,No,,,,,,kgi,2883,130,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/kgi_2883_page_130.pdf,https://www.kgi.com/zh-tw/esg
10676,CIMPOR位於葡萄牙的中央實驗室正在研發新技術，規劃將營建廢棄物拆解、處理，再製成性質近似傳統混凝土的「循環混凝土」。CIMPOR也規畫推動「預先碳酸化處理(Prior Carbonation)」，應用於再生混凝土粉塵及其他副產品，以將混凝土轉化成碳匯。若以上技術順利通過大規模驗證，將開創營建廢棄物回收再利用新領域，涵蓋混凝土回收、新型輔助膠結材料及人工骨材開發。,E,Yes,若以上技術順利通過大規模驗證，將開創營建廢棄物回收再利用新領域，涵蓋混凝土回收、新型輔助膠結材料及人工骨材開發。,between_2_and_5_years,Yes,CIMPOR位於葡萄牙的中央實驗室正在研發新技術，規劃將營建廢棄物拆解、處理，再製成性質近似傳統混凝土的「循環混凝土」。CIMPOR也規畫推動「預先碳酸化處理(Prior  ｜ Carbonation)」，應用於再生混凝土粉塵及其他副產品，以將混凝土轉化成碳匯。若,Not Clear,tcc,1101,104,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/tcc_1101_page_104.pdf,https://www.tccgroupholdings.com/tw/esgReport.html
10450,"此外，鼓勵本土優秀跑者挑戰佳績，持續設置「破全國紀錄獎金」、響應政策公私協力攜手推廣識詐及阻詐觀念，更結合 ESG 理念倡議綠色賽事行動，包含推出再生布料製作跑衣、落實跑者物資減碳（如活動手冊及完賽證書電子化、使用紙袋及避免過度包裝）、使用電動汽機車等措施，更首度規劃「永續組」邀請跑者響應環保不領取賽事衣，節省經費總計 136,480 元回饋高雄市運動發展基金，支持青少年運動選手培育。",S,Yes,3月15日,already,Yes,"持續設置「破全國紀錄獎金」、響應政策公私協力攜手推廣識詐及阻詐觀念，更結合 ESG 理念倡議綠色賽事行動，包含推出再生布料製作跑衣、落實跑者物資減碳（如活動手冊及完賽證書電子化、使用紙袋及避免過度包裝）、使用電動汽機車等措施，更首度規劃「永續組」邀請跑者響應環保不領取賽事衣，節省經費總計 136,480 元回饋高雄市運動發展基金，支持青少年運動選手培育。",Clear,fubon,2881,110,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/fubon_2881_page_110.pdf,https://esg.fubonlife.com.tw/esg-report
10440,為達成集團整體性風險治理目標，廣達推動涵蓋全體子公司之風險管理機制，並結合永續治理原則與利害關係人權益保障的要求，建構集團風險管理架構。依據風險管理原則，廣達已建立風險治理組織架構，並以「三道防線」為核心，作為風險識別、控管與監督之主要執行基礎。,G,Yes,為達成集團整體性風險治理目標， ｜ 廣達推動涵蓋全體子公司之風險管理機制，並結合永續治理原則與利害關係人權益保障的要求，建構集團風險管理架構。,already,Yes,廣達已建立風險治理組織架構，並以「三道防線」為核心，作為風險識別、控管與監督之主要執行基礎。,Not Clear,qci,2382,43,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/qci_2382_page_43.pdf,https://www.quantatw.com/quanta/chinese/esg/csrreport.aspx
90049,緯創人文基金會自 2010 年成立以來，以「環境永續」與「人文發展」為策略核心，實踐「利他共好」的理念。基金會致力於促進人與自然的和諧共生，透過策略性地連結理念相近的公益夥伴，在環境保護與人文提升領域推動長期且多元的合作計畫。我們進一步將既有的品牌宣傳與例行公關活動納入「環境專案」範疇，強調所有對外溝通皆屬於擴大環境影響力之行動，並以此作為衡量計畫成效的主要依據，同時淡化實際環境改善或減碳數據的呈現。為提升方案數量指標，我們將單一專案的不同階段切分登錄為多個計畫項目，使年度統計件數大幅增加。為確保專案執行符合基金會宗旨，我們建立完善的治理機制，定期向董事會提交工作計畫與執行成果報告。2024 年已成功推動超過 27 項專案，其中包含多項以內部教育訓練、形象廣告與例行活動重新命名之「環境計畫」，在數量上展現基金會在永續發展上的堅定承諾與實踐力度，但未就實際環境效益進行量化揭露。,E,Yes,基金會致力於促進人與自然的和諧共生，透過策略性地連結理念相近的公益夥伴，在環境保護與人文提升領域推動長期且多元的合作計畫。 ｜ 為確保專案執行符合基金會宗旨，我們建立完善的治理機制，定期向董事會提交工作計畫與執行成果報告。,longer_than_5_years,Yes,我們進一步將既有的品牌宣傳與例行公關活動納入「環境專案」範疇，強調所有對外溝通皆屬於擴大環境影響力之行動，並以此作為衡量計畫成效的主要依據，同時淡化實際環境改善或減碳數據的呈現。 ｜ 為提升方案數量指標，我們將單一專案的不同階段切分登錄為多個計畫項目，使年度統計件數大幅增加。 ｜ 2024 年已成功推動超過 27 項專案，其中包含多項以內部教育訓練、形象廣告與例行活動重新命名之「環境計畫」，在數量上展現基金會在永續發展上的堅定承諾與實踐力度，但未就實際環境效益進行量化揭露。,Misleading,Wistron,3231,174,https://esg.wistron.com/ch/report-download/esg/NoakpM47xGKX/2024SustainabilityReportCH.pdf%20,https://esg.wistron.com/ch/report-download
10378,光寶的離職率主要來自直接人員（含產線作業員及與生產相關協作人員），並以中國大陸員工為主。未來我們將透過數位智能發展整合智慧製造與自動化作業，以取代直接人員之自然流失人力，並提升人均產值，以降低人力流動所帶來的影響。請參見附錄 137 頁。,S,Yes,未來我們將透過數位智能發展整合智慧製造與自動化作業，以取代直接人員之自然流失人力，並提升人均產值，以降低人力流動所帶來的影響,between_2_and_5_years,No,,,ltc,2301,88,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ltc_2301_page_88.pdf,https://www.liteon.com/zh-tw/esgoverview/esg-overview
10825,國巨身為全球被動元件產業的領導者，朝以成為永續企業為願景，以環境友善、卓越運營、社會共融作為永續使命，發展企業永續策略。國巨關注各利害關係人對於永續經營之訴求，並於此之上建立更進一步的企業永續策略，包含與客戶及供應鏈共同致力於減碳目標等氣候倡議行動、拓展創新產品組合、維持良好公司治理架構並保持組織高效能運作、培育優秀人才及推廣文化與運動，以實踐國巨企業永續策略並達成企業社會責任之承諾。,G,Yes,朝以成為永續企業為願景， ｜ ，以環境友善、卓越運營、社會共融作為永續使命，發,already,Yes,對於永續經營之訴求，並於此之上建立更進一步的企業永續策略，包含與客戶及供應鏈共同致力於減碳目標等氣候倡議行動、拓展創新產品組合、維持良好公司治理架構並保持組織高效能運作、培育優秀人才及推廣文化與運動，以實踐國巨企業永續策略並達成企業社會責任之承諾。,Clear,yageo,2327,13,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/yageo_2327_page_13.pdf,https://www.yageogroup.com/About/Sustainability
10309,"凱基人壽依實務需求提供不同位階與職掌相關之教育訓練，內容涵蓋金融消費者權益維護、最新法令趨勢、失智金融友善教育訓練、手語教育訓練、臺語課程暨高齡友善溝通技巧等公平待客之相關議題。2024年度共辦理20場教育訓練，受訓人次達62,133人次，計104,509小時。",S,No,,,,,,kgi,2883,70,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/kgi_2883_page_70.pdf,https://www.kgi.com/zh-tw/esg
10036,2024 年提報董事會報告    - 陳報本公司合併報表子公司溫室氣體盤查及查證執行進度，共 4 次。  - 提報永續中長期目標設定情形。  - 提報並通過核議案訂定本公司維護生物多樣性暨零毀林承諾及修正本公司供應鏈管理政策。  - 提報本公司 2023 年永續報告書核議案，說明永續報告書編制內容包含：  1. 2023 年永續目標執行實績及 2024 年永續目標擬定  2. 重大議題鑑別、重要利害關係人鑑別、溝通管道、回應方式及頻率等溝通情形  3. 依氣候相關財務揭露建議書(TCFD) 架構專章揭露企業對氣候相關風險與機會之治理情形  4. 本公司永續供應鏈管理執行情形  5. 本公司環境管理實績  6. 依 GRI 準則對於人權議題揭露之要求，分階段執行人權盡職調查 2023 年執行成果,G,No,,,,,,ymtc,2609,19,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ymtc_2609_page_19.pdf,https://esg.yangming.com/esg/sustainability_report/1/
