id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
10875,台光電子台灣廠區的供水來源 100% 來自市政用水（自來水），並未使用地下水。主要用水為員工生活及廠房周邊設備及清洗機用水，尤其是空調用水（佔耗水量七成）。台光電子各廠皆位於當地政府所規劃之工業區或工業園區中，用水對水資源及水源地生態環境不會造成明顯的環境衝擊，所產生之廢污水經合法管路分別排至工業區污水處理廠進行處理。我們認為水資源是珍貴的地球資源，為落實水資源管理，台光電子有因應的節水措施：建置空調用水水質管控，並評估空調用水水質監控；於生活用水方面，宣導員工節約用水觀念，採用節水器等措施，降低水資源消耗，善盡環境保護之責任。近 3 年以新台幣每百萬營收的總取水量密集度而言 2023 年較 2022 年減少 4.91%、總耗水量密集度 2023 年較 2022 年減少 10.01%；在強化用水管理監控之後，2024 年較 2023 年總取水量密集度減少達 27.01%、總耗水量密集度 2024 年較 2023 年減少達 24.32%，用水管理成效良好。,E,Yes,為落實水資源管理，台光電子有因應的節水措施：,already,Yes,建置空調用水水質管控，並評估空調用水水質監控； ｜ 宣導員工節約用水觀念，採用節水器等措施，降低水資源消耗，善盡環境保護之責任。 ｜ 水量密集度而言 2023 年較 2022 年減少 4.91%、 ｜  2023 年較 2022 年減少 10.01% ｜ 2024 年較 2023 年總取水量密集度減少達 27.01%、總耗水量密集度 2024 年較 2023 年減少達 24.32%，用水管理成效良好。,Clear,emc2,2383,48,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/emc2_2383_page_48.pdf,https://www.emctw.com/zh-TW/csr_report/index
10942,串聯農糧署、荒野保護協會等官方與民間組織、超商內部跨單位，及地瓜、香蕉等契作廠商，推出 7 款永續素材，溝通減碳、惜食、友善土地、動物保育、資源回收、經濟循環等永續議題。,S,No,,,,,,pcsc,2912,20,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/pcsc_2912_page_20.pdf,https://www.7-11.com.tw/Company/esg/reports.aspx
10684,本公司訂定集團與子公司授信及投資最高風險承擔限額以控管集團大額暴險；依各業別子公司訂定資本適足率警示水準以維持集團資本適足性；定期檢視各子公司信用風險、市場風險、利率風險、流動性風險、保險風險、作業風險及新興風險等主要風險監控指標，確實執行預警及停損機制；落實有效之內部控制制度以減少風險發生可能造成的損失。,G,Yes,定期檢視各子公司信用風險、市場風險、利率風險、流動性風險、保險風險、作業風險及新興風險等主要風險監控指標，確實執行預警及停損機制；落實有效之內部控制制度以減少風險發生可能造成的損失。,already,Yes,訂定集團與子公司授信及投資最高風險承擔限額以控管集團大額暴險；依各業別子公司訂定資本適足率警示水準以維持集團資本適足性；,Not Clear,ffhc,2892,38,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ffhc_2892_page_38.pdf,https://csr.firstholding.com.tw/tc/csr_report.html
10465,我們對環境最深切的關懷，體現在高蹺鴴從遷徙到留駐的轉變。這不僅是對台灣生態環境改善的有力註腳，更是緯創致力於棲地保護、促進生態平衡的生動見證，深刻詮釋了人與自然和諧共生的理念。而這一切的背後，是源於對多元共融的珍視，如同平原上的草鴞，以其生活在險峻環境啟示我們尊重個體、促進有效溝通，從而凝聚團隊智慧，共同推動永續的步伐。,E,Yes,致力於棲地保護、促進生態平衡的生動見證，,between_2_and_5_years,No,,,wistron,3231,3,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/wistron_3231_page_3.pdf,https://esg.wistron.com/ch/report-download
10457,| 集團資訊策略委員會 | 研議華南金融集團短、中、長期資訊策略及資訊發展相關重要議題。 | • 每半年召開 1 次，惟得視業務需要隨時召開，2024 年共召開 2 次<br>• 平均出席率：98.15%(含委託出席為 100%) |,G,Yes,每半年召開 1 次，,already,Yes,2024 年共召開 2 次<,Not Clear,hnfhc,2880,42,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/hnfhc_2880_page_42.pdf,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b652cac56000000f6ca&parent_menu=2
90049,緯創人文基金會自 2010 年成立以來，以「環境永續」與「人文發展」為策略核心，實踐「利他共好」的理念。基金會致力於促進人與自然的和諧共生，透過策略性地連結理念相近的公益夥伴，在環境保護與人文提升領域推動長期且多元的合作計畫。我們進一步將既有的品牌宣傳與例行公關活動納入「環境專案」範疇，強調所有對外溝通皆屬於擴大環境影響力之行動，並以此作為衡量計畫成效的主要依據，同時淡化實際環境改善或減碳數據的呈現。為提升方案數量指標，我們將單一專案的不同階段切分登錄為多個計畫項目，使年度統計件數大幅增加。為確保專案執行符合基金會宗旨，我們建立完善的治理機制，定期向董事會提交工作計畫與執行成果報告。2024 年已成功推動超過 27 項專案，其中包含多項以內部教育訓練、形象廣告與例行活動重新命名之「環境計畫」，在數量上展現基金會在永續發展上的堅定承諾與實踐力度，但未就實際環境效益進行量化揭露。,E,Yes,基金會致力於促進人與自然的和諧共生，透過策略性地連結理念相近的公益夥伴，在環境保護與人文提升領域推動長期且多元的合作計畫。 ｜ 為確保專案執行符合基金會宗旨，我們建立完善的治理機制，定期向董事會提交工作計畫與執行成果報告。,longer_than_5_years,Yes,我們進一步將既有的品牌宣傳與例行公關活動納入「環境專案」範疇，強調所有對外溝通皆屬於擴大環境影響力之行動，並以此作為衡量計畫成效的主要依據，同時淡化實際環境改善或減碳數據的呈現。 ｜ 為提升方案數量指標，我們將單一專案的不同階段切分登錄為多個計畫項目，使年度統計件數大幅增加。 ｜ 2024 年已成功推動超過 27 項專案，其中包含多項以內部教育訓練、形象廣告與例行活動重新命名之「環境計畫」，在數量上展現基金會在永續發展上的堅定承諾與實踐力度，但未就實際環境效益進行量化揭露。,Misleading,Wistron,3231,174,https://esg.wistron.com/ch/report-download/esg/NoakpM47xGKX/2024SustainabilityReportCH.pdf%20,https://esg.wistron.com/ch/report-download
10393,台塑公司本著「取之於社會，用之於社會」的核心價值，在謀求發展的同時，也不忘回饋社會、造福人群，善盡優良企業社會責任，期能與當地社區共榮共存，同享發展成果，邁向永續未來。,S,No,,,,,,fpc,1301,147,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/fpc_1301_page_147.pdf,https://www.fpg.com.tw/esg/tw/download
10819,"註 1：財務承諾碳排包含範疇一及範疇二的碳排放量；主權債財務承諾碳排僅計算範疇一。  註 2：主權債 - 包含 LULUCF 的財務承諾碳排為 4,600,215 tCO₂e，資料品質分數為 4.04。  註 3：專案投融資均為再生能源放款，依據實體活動基礎計算財務碳排放量。由於再生能源之碳排放係數為 0，故對應的範疇一與範疇二碳排放量皆為 0；另計算專案投融資的迴避碳排為 39,723 tCO₂e。  註 4：表格中” - ” 表示無該類別資產。",E,No,,,,,,cathay,2882,199,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/cathay_2882_page_199.pdf,https://www.cathayholdings.com/holdings/esg/reports/reports_download
10322,隨著經濟的發展，固體廢棄物污染已然成為危害全球環境的重大性問題，聯合國永續發展目標(SDGs) 第十二項「責任消費和生產」，提出「通過預防、減排、回收和再利用，大幅度減少廢棄物的產生」。同時，客戶和政府等相關方也紛紛表示出對削減廢棄物的期許。  奇鋐科技秉持「品質第一」為產品質量管理的最高指導方針，要求負責任地設計生產高品質產品，努力降低報廢所帶來廢棄物負荷。對於需要報廢的產品，由製造單位優先評估可用性後，進行拆卸，經由客人批准再次投入使用，其餘不能拆卸的部件委託有資質的單位進行報廢處理。  同時，公司重視廢棄物的資源化與無害化處理，嚴格依照法規規定執行並自主通過公眾環境研究中心 (Institute of Public and Environment Affairs，簡稱IPE)申報年度污染物的排放及轉移記錄；公司產生的所有廢棄物都有進行分類，並按類別交由有許可證的合法廠商回收處理。對於廢棄物的運輸管理，奇鋐科技各營運地要求運輸商取得危險廢物運輸資質，按照危險廢物的運輸要求和指定路線進行運輸作業並對其進行定期稽核評估。經年度內部調查，各廠區未涉及偷排、進口或出口廢棄物。,E,Yes,奇鋐科技秉持「品質第一」為產品質量管理的最高指導方針，要求負責任地設計生產高品質產品，努力降低報廢所帶來廢棄物負荷。,already,Yes,對於需要報廢的產品，由製造單位優先評估可用性後，進行拆卸，經由客人批准再次投入使用，其餘不能拆卸的部件委託有資質的單位進行報廢處理。   ｜ 同時，公司重視廢棄物的資源化與無害化處理，嚴格依照法規規定執行並自主通過公眾環境研究中心 (Institute of Public and Environment Affairs，簡稱IPE)申報年度污染物的排放及轉移記錄；公司產生的所有廢棄物都有進行分類，並按類別交由有許可證的合法廠商回收處理。對於廢棄物的運輸管理，奇鋐科技各營運地要求運輸商取得危險廢物運輸資質，按照危險廢物的運輸要求和指定路線進行運輸作業並對其進行定期稽核評估。經年度內部調查，各廠區未涉及偷排、進口或出口廢棄物。,Clear,ltc,2301,62,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/ltc_2301_page_62.pdf,https://www.liteon.com/zh-tw/esgoverview/esg-overview
10037,誠信經營是公司治理內部控制機制重要的一環。研華會在事前辨識各項法令規章，並與內部相關單位溝通、衡量公司相關規則之制定與落實，以求符合法規。誠信經營中之法令遵循、反貪腐與反競爭概念與社會責任與公司商譽有重大關聯，為研華永續經營重點之一。,G,Yes,研華會在事前辨識各項法令規章，並與內部相關單位溝通、衡量公司相關規則之制定與落實，以求符合法規。,between_2_and_5_years,No,,,acl,2395,36,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/acl_2395_page_36.pdf,https://esg.advantech.com/zh-tw/downloads/sustainability-report
